# Ground-material opacity - generated by ctrmap.tools.GroundMaterialAudit.
# A terrain brush may only paint into one of the map's OWN materials when
# that material's texture is essentially opaque. Transparent ones are sprite
# strips and decoration atlases: painting a floor with them draws nothing.
# material	texture	occurrences	worstOpaquePercent
c109_prim_door2	kage_heya_kabe5	4	100.00
c109_prim_floor2	kage_heya_kabe3	4	100.00
c109_prim_floorpsd	kage_heya_yuka	4	100.00
c109_prim_grass	c109_prim_grass	4	0.00
c109_pur_ice2	c109_pur_ice2	1	0.00
carpet	carpet	1	100.00
carpet01	carpet01	20	100.00
carpet01_mat	c102r0401_carpet01	1	100.00
carpet01_r	carpet01_r	28	100.00
carpet02	carpet02	16	100.00
carpet02_mat	carpet02_r	1	100.00
carpet02_r	carpet02_r	3	100.00
carpet02_r4	04carpet02_r	1	100.00
carpet03_r	carpet03_r	1	100.00
carpet04	carpet04	3	100.00
carpet2	carpet1	1	100.00
carpetMAT0	carpet03_r	1	100.00
carpet_pitcher01	carpet_pitcher01	1	100.00
cave_basic	gake_01_02	4	100.00
cave_basic11	chanp_gake1	3	100.00
cave_basic22	gake_01_02	1	100.00
cave_iwa_00	cave_tc_00	9	100.00
cave_iwa_yuka	cave_tc_yuka	41	100.00
cave_kana	gake_kanashida	2	100.00
cave_stone	chip_cave_stone	13	100.00
chanp_gake	chanp_gake2	2	100.00
chip_01_01_kusa_dansa_ana_chip_gake	chip_gake01	1	100.00
chip_01_01_kusa_dansa_ana_gake_basic	gake_01_01	1	100.00
chip_01_02_cave_basic	gake_01_02	4	100.00
chip_01_02_cave_basic1	d105_gake_01_02	1	100.00
chip_01_02_d102r0101_cave_stone	chip_cave_stone	6	100.00
chip_bridge_01	chip_bridge_01	7	100.00
chip_cave	chip_doukutsu01	6	100.00
chip_cave11	chip_doukutsu01	2	100.00
chip_cave2	chip_icedoukutsu01	2	100.00
chip_cave3	chip_doukutsu01	1	100.00
chip_cave_stone	chip_cave_stone	1	100.00
chip_doukutsu01	chip_doukutsu01	21	100.00
chip_doukutsu02	chip_doukutsu02	43	100.00
chip_doukutsu04	chip_doukutsu02	2	100.00
chip_gake	chip_gake01	26	100.00
chip_gake001	chip_gake01	11	100.00
chip_gake01	chip_gake01	84	100.00
chip_gake01_basic1	chip_gake01	5	100.00
chip_gake02	chip_gake01	27	100.00
chip_gake03	chip_gake01	10	100.00
chip_gake04	chip_gake01	2	100.00
chip_gake_b	chip_gake_b	1	100.00
chip_gake_sea	chip_gake_sea	2	100.00
chip_gake_sea_ground	chip_gake_sea_ground	1	100.00
chip_grass_decolate	101to_kotoki_tsunagi	51	16.44
chip_haji_gake	chip_hajigake	7	100.00
chip_jump_gake	chip_jump_gake	10	42.83
chip_jump_gake1	chip_jump_gake	1	42.83
chip_jump_gake9	chip_jump_gake	1	42.83
chip_kusa	chip_kusa	177	100.00
chip_kusa1	chip_kusa	6	100.00
chip_kusa10	chip_kusa	4	100.00
chip_kusa8	chip_kusa	1	100.00
chip_kusa_	chip_kusa_a	1	100.00
chip_kusa_a	chip_kusa_a	53	100.00
chip_kusa_a1	chip_kusa	3	100.00
chip_kusa_a3	chip_kusa	1	100.00
chip_kusa_a4	d108r0105_kusa	3	100.00
chip_kusa_b	chip_kusa_b	57	100.00
chip_kusa_b1	chip_kusa_b	5	100.00
chip_kusa_edge	projection_dummy	3	100.00
chip_kusa_edge1	chip_kusa_edge	10	0.00
chip_miti2_kanazumi	kanazumi_miti02	4	100.00
chip_miti3_kanazumi	kanazumi_miti03	4	100.00
chip_miti_kanazumi	kanazumi_miti01	4	100.00
chip_mitift_kanazumi	kanazumi_mitift	4	100.00
chip_rock_b	chip_rock_b	154	7.62
chip_rock_b4	chip_rock_b	1	7.62
chip_rock_c	chip_rock_c	91	100.00
chip_sand_a1	sand	2	100.00
chip_sea_b	chip_sea_b	124	100.00
chip_sea_b1	chip_sea_b	2	100.00
chip_sea_b21	chip_sea_b	1	100.00
chip_soil	chip_soil_a	23	100.00
chip_soil2	mountain_top02	5	100.00
chip_soil_a	chip_soil_a	9	100.00
chip_steps01a	chip_steps01	36	100.00
chip_steps01a1	chip_steps01	1	100.00
chip_wood_a	projection_dummy	10	87.48
chip_wood_b	chip_wood_b	130	34.32
chip_wood_c	c108a_wood	1	45.49
chip_wood_shadow	chip_wood_shadow	25	0.34
chip_wood_shadow1	chip_wood_shadow	1	0.34
common_wood_c105gym0101_Comb106	c105_far	2	66.76
common_wood_floor02	floor02	2	100.00
cycling_door	cycling_door	4	100.00
cycling_yuka	cycling_yk02	12	100.00
d06_gake02	d06_gake02	1	100.00
d104r0101_chip_01_02_d102r0101_cave_stone	chip_cave_stone	1	100.00
d104r0101_d105r0102_2_d105_sand	chip_doukutsu02	1	100.00
d105_hashigo	d105_hasigo2	1	100.00
d105_sand	chip_doukutsu02	9	100.00
d105r0101_d105_hashigo	d105_hasigo2	1	100.00
d105r0101_d105_sand	ground_hono_03	4	100.00
d105r0102_2_d105_sand	chip_doukutsu02	8	100.00
d106_r0101_r104_test_chip_wood_b	koko_wood_b	2	48.99
d106r0106_d108r0105_3_world01_02_03_chip_grass_decolate	chip_alpha	1	16.65
d107_gake01	d107r2_gake01	6	100.00
d107_iwa1	d107_iwa	3	100.00
d107_iwa2	d107_iwa2	4	100.00
d108r0105_3_c101_touka_chip_soil	chip_soil_a	6	100.00
d108r0105_3_pasted__MaterialRef_chip_kusa_a	d108r0105_kusa	8	100.00
d108r0105_3_stairs_chip_steps01a	d108_steps01	8	100.00
d108r0105_3_world01_02_03_chip_grass_decolate	chip_alpha	8	16.65
d108r0105_c101_touka_chip_grass_decolate	touka_alpha	1	20.75
d108r0105_c101_touka_chip_soil	chip_soil_a	1	100.00
d108r0105_gake2	d108r0105_gake2	1	100.00
d108r0105_kusa	d108r0105_kusa	1	100.00
d108r0105_world01_02_03_chip_grass_decolate	chip_alpha	1	16.65
d110r0102_chip_gake_sea	d110r0102_chip_gake_sea	1	100.00
d110r0102_gake_01_02	d110r0102_gake_01_02	1	100.00
d110r0105_gake_01_02	d110r0105_gake_01_02	1	100.00
d110r0108_ChipRef_cave_basic	gake_01_02	1	100.00
d110r0108_chip_doukutsu02	chip_doukutsu02	1	100.00
d110r0112_ChipRef_cave_basic	gake_01_02	1	100.00
d111r0102_chip_doukutsu02	chip_doukutsu02	1	100.00
d111r0102_gake_01_02	d119_gake_01_02	1	100.00
d112gake	d108r0105_gake2	1	100.00
d112r0102_cave_stone	chip_cave_stone	1	100.00
d112r0102_chip_bridge_01	chip_bridge_01	5	100.00
d112r0102_chip_doukutsu02	chip_doukutsu02	2	100.00
d112r0102_d112_hashigo	d112_hasigo2	8	100.00
d112r0102_d112r0102_d112_hashigo	d112_hasigo2	1	100.00
d112r0103_gake1	d112r0103_gake1	8	100.00
d112r0103_gake2	d112r0103_gake2	4	100.00
d112r0104_chip_kusa_a	d108r0105_kusa	3	100.00
d112r0104_d112r0102_chip_doukutsu02	chip_doukutsu02	2	100.00
d112taki	d112_r01_eff01	1	7.13
d112taki1	c108gym_fall_c	1	0.00
d112taki2	c108gym_fall_e	1	11.55
d112taki3	c108gym_fall	1	7.15
d112taki4	c108gym_fall_d	1	0.00
d112water	koko_river_a	1	0.00
d113r0107_chip_cave	chip_icedoukutsu02	4	100.00
d113r0107_d163r0101_pasted__tsunagi	chip_doukutsu02	4	100.00
d114_floor2	d114_floor2	1	100.00
d115_floor01__Comb__	d115_floor01	1	100.00
d115r0103_floor00	d115r0103_floor00	2	100.00
d115r0103_floor01	d115r0103_floor01	2	100.00
d115r0104_floor00	d115r0104_floor00	1	100.00
d118yuka	chip_doukutsu02	4	100.00
d119r0103_d110r0108_chip_doukutsu02	chip_doukutsu02	1	100.00
d121r0102_hashigo	d121_06	1	100.00
d123r0101_r121_chip_grass_decolate	alpha	4	16.65
d123r0101_r121_chip_kusa	chip_kusa	1	100.00
d123r0101_r121_chip_wood_b	chip_wood_b	1	47.22
d137r0101_pasted__chip_kusa_a4	d108r0105_kusa	1	100.00
d137r0101_pasted__pasted__rock_iwaMAT	d138_iwa	1	100.00
d138_gake	d138_gake	1	100.00
d140_iwa_large	d141_iwa01	4	100.00
d146_small_iwa	d146_small_iwa	1	100.00
d147r0101_ChipRef_chip_gake01	chip_gake01	2	100.00
d147r0101_chip_kusa	chip_kusa	2	100.00
d147r0101_chip_wood_b	chip_wood_b	1	47.22
d147r0101_d163r0101_pasted__chip_steps01a	d152r0101_dan	1	100.00
d147r0101_gake_basic	gake_01_01	2	100.00
d147r0101_tsunagi	chip_kusa	2	100.00
d160r0101_d131r0101_MaterialRef_chip_kusa_a1	chip_kusa	1	100.00
d160r0101_d131r0101_d123r0101_r121_chip_wood_b	chip_wood_b	1	47.22
d160r0101_d163r0101_pasted__t105_hajituge_gake_top_tunagi01	r111_top01	1	100.00
d160r0101_d163r0101_pasted__tsunagi	chip_kusa	1	100.00
d163r0101_pasted__ChipRef_gake_sea_a	chip_gake_sea	1	100.00
d163r0101_pasted__ChipRef_gake_sea_b	chip_gake_sea_ground	1	100.00
d163r0101_pasted__MaterialRef_chip_kusa_a	chip_kusa	1	100.00
d163r0101_pasted__chip_grass_decolate	touka_alpha	4	20.75
d163r0101_pasted__chip_kusa	chip_kusa	1	100.00
d163r0101_pasted__chip_sea_b	chip_sea_b	1	100.00
d163r0101_pasted__chip_steps01a	chip_steps01	3	100.00
d163r0101_pasted__rock_iwaMAT	iwa	4	100.00
d163r0101_pasted__t105_hajituge_gake_top_tunagi01	r111_top01	4	100.00
d163r0101_pasted__tsunagi	d108r0105_kusa	7	100.00
door	c108_door	8	100.00
door00_suterare_saku__Comb__	seakin_doorwaku	1	100.00
door01_r	door01_r	2	100.00
door02_r	door02_r	2	100.00
door04	03door01	1	100.00
door06	03door01	1	100.00
ed_water_sitaAMT	etxm_demo_waveA	1	62.96
ed_water_sitaBMT	etxm_demo_waveA	1	62.96
enc_grass_su_enc01	enc_grass	3	25.58
enkei_sea	enkei_sea01	9	100.00
ent_floor01	ent_floor01	14	100.00
ent_floor01_mat	floor02_r	2	100.00
ent_floor01_r	ent_floor01_r	4	100.00
ent_floor02	ent_floor02	1	100.00
ent_floor02_r	ent_floor02_r	17	100.00
ent_floor03	ent_floor01	1	100.00
f_chip_grass_decolate	d107_alpha	3	11.18
f_chip_rock_c	chip_rock_c	4	100.00
f_chip_sea_b	chip_sea_b	39	100.00
f_chip_wood_b	chip_wood_b	3	47.22
f_d140_iwa_large	d141_iwa01	2	100.00
f_gake_basic	d140_gake01	4	100.00
f_gake_sea_a1	r119_gake_sea	1	100.00
f_kanazumi_shadow	muro_shadow	5	100.00
f_others_grass_decolate	r120_alpha	3	24.93
f_others_grass_decolate1	r120_alpha	2	24.93
f_pasted__tsunagi	chip_kusa	2	100.00
f_r124_r105_chip_rock_c	chip_rock_c	2	100.00
floor	c109_dai_01_b	2	100.00
floor01	floor01	51	100.00
floor010	floor03	2	100.00
floor011	floor04	2	100.00
floor01_mat	floor01_r	2	100.00
floor01_r	floor01_r	53	100.00
floor01_r1	floor07_r	1	100.00
floor02	floor02	31	100.00
floor02_01	floor02_01	1	100.00
floor02_02	floor02_02	1	100.00
floor02_1	floor02	1	100.00
floor02_a	floor02_a	1	7.81
floor02_a1	floor02_a	4	7.81
floor02_r	10floor02	44	100.00
floor03	10floor03	26	100.00
floor03_r	10floor03	41	100.00
floor03_r1	floor03_r	2	100.00
floor04	c102r0301_floor04	9	100.00
floor04_psd	floor04	1	100.00
floor04_r	10floor04	23	100.00
floor05	10floor05	14	100.00
floor05_r	floor05_r	15	100.00
floor05_r_mat	floor05_r	1	100.00
floor06	floor06	5	100.00
floor06_a	floor06_a	1	33.91
floor06_r	floor06_r	1	100.00
floor07_r	floor07_r	4	100.00
floor08	floor08	1	100.00
floor08_r	floor08_r	5	100.00
floor_01	12floor01	1	100.00
floor_02	floor_02	2	10.88
floor_02b	floor_02	2	10.88
floor_05	12floor05	1	100.00
floor_a	c101_floor_01	1	100.00
floor_b	c101_floor_02	2	100.00
floor_block	floor_block	4	100.00
floor_c	c101_floor_03	2	100.00
floor_concrete	floor_concrete	1	100.00
floor_ironline	floor_metalline	2	100.00
floor_metal	floor_metal	9	100.00
floor_metal1	floor_metal	1	100.00
floor_metal2	floor_metal2	4	100.00
floor_metal3	floor_metal3	2	100.00
floor_metalB	floor_metalB	5	100.00
floor_metalline	floor_metalline	8	100.00
floor_metalline1	floor_metalline	1	100.00
floor_metalred	floor_metalred	10	100.00
floor_rock	floor_rock	8	100.00
floor_side	c109_dai_02	2	100.00
food_grass	food_grass	6	0.00
fuen_sand	fuen_sand04	1	100.00
fuen_sand02	fuen_sand01c	1	61.68
fuen_tsunagi	mountain_kusa	5	100.00
gake	w124_06	2	100.00
gake_01_01	gake_01_01	1	100.00
gake_01_02	gake_01_02	6	100.00
gake_Comb1	c106_tadangake	6	100.00
gake_basic	gake_01_touka	114	100.00
gake_basic1	r113_gake01	75	100.00
gake_basic12	d112_gake_01_01	3	100.00
gake_basic16	gake_01_01	1	100.00
gake_basic2	r115_gake01	20	100.00
gake_basic3	gake_01_01	1	100.00
gake_basic4	gake_01_01	2	100.00
gake_basic_side	gake_01_01	52	100.00
gake_chip_wood_b	chip_wood_b	3	47.22
gake_entotsu1	gake_entotsu	4	100.00
gake_entotsu_2	gake_entotsu_2	4	100.00
gake_rune	c108c_gake_01	8	100.00
gake_sea	r120_gake_sea	7	100.00
gake_sea_	chip_gake_sea_ground	4	100.00
gake_sea_a	chip_gake_sea	99	100.00
gake_sea_a1	chip_gake_sea	46	100.00
gake_sea_a16	chip_gake_sea	12	100.00
gake_sea_b	chip_gake_sea_ground	62	100.00
gake_sea_b1	chip_gake_sea_ground	44	100.00
gake_top	chip_hajigake_b	34	100.00
gake_top2	mountain_top02	6	100.00
gake_top_tunagi01	r111_top01	1	100.00
gktop_tsunagi	chip_gake01	2	100.00
grass	projection_dummy	2	100.00
grass01	grass01	8	16.46
grass02	grass02	16	16.46
grass03	grass02	2	100.00
grassMAT	projection_dummy	1	100.00
grass_decolate	r120_alpha	29	16.65
grass_decolate8	alpha	1	16.65
gura_iwa	gura_iwa	1	100.00
hai_kusa	chip_haikusa	4	100.00
haikusa	chip_haikusa	9	100.00
hashi_Comb17	kag_08	1	100.00
hashigo	d121_06	4	100.00
hashigo_2	d121_06	1	100.00
ice01	ice01	1	100.00
iwa	iwa	3	100.00
iwaMAT	d108_iwa	1	100.00
iwa_white	toku_iwa02	1	100.00
jump_gake	chip_jump_gake	3	42.83
jump_gake8	chip_jump_gake	2	42.83
kagu1_floor02_r	floor02_1_r	1	100.00
kaina_gk_sea	kaina_gk_sea	1	100.00
kaina_road	kaina_saku01	6	100.00
kanazumi_house12	kanazumi_house02	1	100.00
kanazumi_house13	kanazumi_house01	4	100.00
kanazumi_komono	kanazumi_komono	4	100.00
kanazumi_shadow	muro_shadow	25	100.00
keyboard	keyboard	4	100.00
kinagi_yuka	kinagi_yk01	1	100.00
kinsetu_floor10	kinsetu_floor2	6	100.00
kinsetu_floor11	kinsetu_floor3	6	100.00
kinsetu_floor2	kinsetu_floor2	16	100.00
kinsetu_floor3	kinsetu_floor3	9	100.00
kinsetu_floor4	kinsetu_floor2	7	100.00
kinsetu_floor5	kinsetu_floor3	4	100.00
kokoro02_chip_kusa_a	d108r0105_kusa	3	100.00
kokoro02_d106_r0101_r104_test_chip_wood_b	koko_wood_b	2	48.99
kusa_a	forest_kusa	5	100.00
kusa_edge	chip_gake_sea_ground	1	100.00
kusacushion	kusacushion	1	100.00
leafia_stone	r21_stone	1	100.00
midori_r112b_chip_wood_b	chip_wood_b	3	47.22
midori_r112b_mountain_kusa	mountain_kusa	3	100.00
mizutama_futi	mizu_edge	7	100.00
mizutama_soko	mizutama01	8	0.00
mountain_kusa	mountain_kusa	8	100.00
muro_6_tsunagi1	batres_sand	4	100.00
muro_house_muro_door1	muro_door	1	100.00
nakaniwa	nakaniwa	1	100.00
onsen_bigiwa_al	onsen_iwa_alpha2	1	100.00
onsen_iwa	t104gym_01	2	100.00
onsen_iwa1	onsen_iwa	1	100.00
onsen_iwa_alpha	onsen_iwa_alpha	1	100.00
others_grass_decolate	r120_alpha	68	24.93
pasted__ChipRef_cave_basic	gake_01_02	10	100.00
pasted__ChipRef_cave_basic3	gake_01_02	5	100.00
pasted__ChipRef_cave_basic6	chanp_gake1	1	100.00
pasted__ChipRef_chip_cave	chip_doukutsu01	5	100.00
pasted__ChipRef_chip_cave12	chip_doukutsu01	4	100.00
pasted__ChipRef_chip_cave15	chip_doukutsu01	1	100.00
pasted__ChipRef_chip_cave24	chip_doukutsu01	1	100.00
pasted__ChipRef_chip_cave3	chip_doukutsu01	5	100.00
pasted__ChipRef_chip_cave6	chip_doukutsu01	1	100.00
pasted__ChipRef_chip_gake01	chip_gake01	3	100.00
pasted__ChipRef_chip_gake014	chip_gake01	1	100.00
pasted__ChipRef_chip_gake02	chip_gake01	9	100.00
pasted__ChipRef_chip_gake07	chip_gake01	1	100.00
pasted__ChipRef_chip_gake09	chip_gake01	1	100.00
pasted__ChipRef_chip_jump_gake	d150_jpgake	1	81.25
pasted__ChipRef_chip_jump_gake5	chip_jump_gake	1	42.83
pasted__ChipRef_chip_kusa	chip_kusa	3	100.00
pasted__ChipRef_chip_kusa4	chip_kusa	4	100.00
pasted__ChipRef_chip_kusa8	chip_kusa	1	100.00
pasted__ChipRef_chip_rock_b	chip_rock_b	2	7.62
pasted__ChipRef_chip_rock_b13	chip_rock_b	1	7.62
pasted__ChipRef_chip_rock_b17	chip_rock_b	1	7.62
pasted__ChipRef_chip_rock_b4	chip_rock_b	2	7.62
pasted__ChipRef_chip_rock_b51	chip_rock_b	1	7.62
pasted__ChipRef_chip_rock_b9	chip_rock_b	1	7.62
pasted__ChipRef_chip_rock_c	chip_rock_c	2	100.00
pasted__ChipRef_chip_sea_b	chip_sea_b	2	100.00
pasted__ChipRef_gake_basic	gake_01_01	9	100.00
pasted__ChipRef_gake_basic13	gake_01_01	1	100.00
pasted__ChipRef_gake_basic21	koko_gake	1	100.00
pasted__ChipRef_gake_basic6	gake_01_01	1	100.00
pasted__ChipRef_gake_basic8	d122_2_gake	1	100.00
pasted__ChipRef_gake_sea_a	chip_gake_sea	6	100.00
pasted__ChipRef_gake_sea_a3	chip_gake_sea	1	100.00
pasted__ChipRef_gake_sea_a4	d118_gake_sea	2	100.00
pasted__ChipRef_gake_sea_b	chip_gake_sea_ground	3	100.00
pasted__ChipRef_gake_sea_b13	chip_gake_sea_ground	4	100.00
pasted__ChipRef_gake_sea_b7	chip_gake_sea_ground	3	100.00
pasted__MaterialRef_chip_gake02	d114_soil_a	1	100.00
pasted__MaterialRef_chip_kusa_a	chip_kusa	3	100.00
pasted__MaterialRef_chip_kusa_a1	chip_kusa	2	100.00
pasted__MaterialRef_chip_kusa_b	chip_kusa_b	5	100.00
pasted__MaterialRef_chip_sea_b	chip_sea_b	1	100.00
pasted__beach_parasol	bc106_each_parasol	2	100.00
pasted__beach_parasol_al	c106_beach_parasol_al	2	90.82
pasted__c101_touka_chip_grass_decolate	d108_alpha	6	27.26
pasted__c103r_floor04_r	c103r_floor04_r	3	100.00
pasted__c109_prim_floor2	c109_prim_right	4	100.00
pasted__carpet01	carpet01	1	100.00
pasted__carpet01_r	c106r_carpet01_r	3	100.00
pasted__carpet02	carpet02	1	100.00
pasted__carpet04	carpet04	1	100.00
pasted__cave_stone	chip_cave_stone	2	100.00
pasted__chip_doukutsu02	chip_doukutsu02	1	100.00
pasted__chip_gake01	chip_doukutsu01	1	100.00
pasted__chip_gake03	chip_gake01	2	100.00
pasted__chip_grass_decolate	touka_alpha	4	20.75
pasted__chip_kusa	batres_kusa	2	100.00
pasted__chip_sea_b	chip_sea_b	2	100.00
pasted__chip_steps01a	r113_step	6	100.00
pasted__chip_steps01a1	chip_steps01	1	100.00
pasted__d108r0105_3_stairs_chip_steps01a	chip_steps01	1	100.00
pasted__d112r0102_chip_bridge_01	chip_bridge_01	1	100.00
pasted__d113r0107_chip_cave	chip_icedoukutsu02	1	100.00
pasted__d113r0107_d163r0101_pasted__tsunagi	chip_doukutsu02	1	100.00
pasted__d118yuka	chip_doukutsu02	4	100.00
pasted__d147r0101_d163r0101_pasted__chip_steps01a	d154r0101_dan	1	100.00
pasted__d163r0101_pasted__tsunagi	d133r0101_chip_kusa	1	100.00
pasted__enkei_sea	enkei_sea01	1	100.00
pasted__ent_floor01	ent_floor01	1	100.00
pasted__f_gake_sea_a1	d133r0101_dan	1	100.00
pasted__fc_door_a	fs_door_01	1	100.00
pasted__fc_door_b	fs_door_02	1	100.00
pasted__floor01	floor01	1	100.00
pasted__floor011	floor011	1	28.77
pasted__floor02	floor02	1	100.00
pasted__floor03_r	floor03_r	1	100.00
pasted__floor05	floor05	1	100.00
pasted__floor07	floor07	1	100.00
pasted__floor08	floor08	1	100.00
pasted__floor09	floor09	1	100.00
pasted__floor_metalline	floor_metalline	1	100.00
pasted__floor_rock	floor_rock	1	100.00
pasted__gake_basic	d105gake_01_02	5	100.00
pasted__gake_chip_wood_b	chip_wood_b	2	47.22
pasted__grass01	grass01	3	16.46
pasted__grass02	grass02	1	100.00
pasted__grassMAT	projection_dummy	2	100.00
pasted__keyboard	keyboard	2	100.00
