0000002B	+
19650F1E	CallBPWazaOboeShopBuy
197E4320	TrialHouse_GetDLItem
19A639E6	BuildMdlEventAnimeSetEnd
1A07B7FA	PlayerSetFormToNormalForce
1A367F51	TrialHouse_AddBtlResultPoint
1A718213	CreateSenarioTVProgram
1A8F980B	TrainerGetObjID
1AB8C5F8	_SodateyaPokeNumGet
1B0B8B06	PokePartyAdd
1B4412DD	BallsIsLoaded
1B6E915E	_ReportWait
1C178A10	MdlSetParam2
1C178A12	MdlSetParam0
1C178A13	MdlSetParam1
1C5494AB	ShakeCameraEndAll
1C6579E9	TVSaveDaisuki
1E4AB0A0	WeatherEffectFollowSet
1E79BA8F	BattleHouse_SetCommVsTariner
1E7D46B4	BGMEndDemo
1E8094D5	TalkMdlClearEye
1EB8E489	_TrainerEyeSetBattleWin
1FF7B97B	ZukanSetFlag
20110F11	GymFightingSwitchEvent
202BD45E	BallsLoad
203F4A4D	_SecretBaseCreateMyBase
207F43AD	BattleHouse_IsComm
20A3FE0A	IsReadyCameraAnimation
2118939E	GetConnectExitType
21695CE1	_SecretBaseGetGoodsParam
21D6FFB6	_MapChangeCore
226B3939	BattleHouse_IsParent
22B75A3E	_PostmanGetParameter
22CEDF97	CallCaptureDemo
231AA8C5	BattleInstWorkCreate
23665DDF	ZukanSetOpenFlag
2367B782	PokeMemorySet
245D70F5	MezameruPowerGetType
24E8AB41	_SodateyaPokeLeave
25818E0C	PlayerGetReturnDir
2654DE74	WordSetItemName
27462B2A	OnMotionBlur
275C3CC2	BootBallPowerBlue
276DB8D5	AIGetOption
27AA5021	GetDirAddValueGridZ
27AA5023	GetDirAddValueGridX
27B6B468	TrialHouse_SetTrainer
28AA76AC	BattleInstWorkDelete
28BF325B	FieldTradeCheckSelectMons
28ED95FC	ShakeCameraBeginLoop
2976B301	InterviewCreate
299F8FBA	IEGetOBJID
29AC9B9B	CallFieldCaptureDemo
29C0E536	PrepareCameraAnimation
2AA13F13	PlayerSetKanjiMode
2ACFFEB4	_SecretBaseGetHimitunoNakamaFlag
2BA0CB46	GlobalSetChildParam
2C583AAE	_SecretBaseTryRankUp
2CD131EF	GymEsperStartMoveEvent
2D21F128	LFoot
2D5A57DA	CallCommendation
2DA048CF	PlayerGetBP
2DA04D7E	PlayerGetID
2DEDA76B	TrainerCardGetRankGold
2E8E40D6	GetMonth
2EAA95A7	LHand
2F518F15	GetTimeZone
300073A3	_SecretBaseIsGoodsAnimationEnd
3055247A	BuildMdlEventAnimeInvStart
3110D534	MdlGetParam2
3110D536	MdlGetParam0
3110D537	MdlGetParam1
31150749	_TrainerEyeBattleStart
31345663	IsBoss
313FDB68	GymElecGimmickRed
3157D006	MdlSpMotionMoveUpdate
3196540D	MdlSetPosToOBJNear
31BA8523	BattleHouse_DecideCommVsTrainer
31BD303B	AIStateSet
31C2485F	AIStateGet
324CFD97	GetBirthdayDay
32719C00	GimmickWorkResetBit
3272D187	PokePartyGetPoodleParam
3276AB3C	IsBootMegaBangleEffectFinished
32B5F4D3	HideItemInit
331666C7	IEDelete
339A3272	SpMotionPlayMove
3407275F	CallHidenDemo
34342D0A	_EventModelFinalize
346CE518	AICommonWeakReserveGetWkVal
3493F6EC	CallMapConnect
34E2C87E	_SecretBaseMoveGridRequest
3528848F	BuildMdlEventAnimeStart
3535660A	SkyboxEventTimeReset
358B0372	LastKeyWait
35CAE551	MdlGetObjCode
35D6CF5D	AddCommMultiTrainerObjOnGrid
36065763	GymElecGimmickBlue
36EDED0F	MapperBlockCalcPosSet
37404AE4	IsContestPhoto
375FEC54	IEMdlAcmdSet
3842F7D5	PokerusCheckTemoti
39106571	WordSetInterview
3A07659E	CheckWinSuspend
3AD0D979	MdlIsMoveSpeedZero
3B30943F	TrainerGetMsgID
3B670D73	SetCameraAnimationRotation
3C0C83C5	MdlDelByFlag
3C9D2CEB	_SecretBaseCallOtherPcEvent
3CF2CC07	ZukanGetFlag
3DBAFF15	MdlEventTypeIsAI
3E91BF6C	EVCameraSetDstParam
3E91C2AA	MegaRingFlagSet
3E94CAD6	MegaRingFlagGet
3EFB66B4	TimeCountGet
3F4000A6	Origin
4016ED32	VanishKeyWaitMark
403D1B99	TalkMdlClearEyeToEye
40D8EDF6	WordSetWazaName
40FB8A80	GetStylishPoint
410CBED4	FieldMenuPushPage
4114A564	MdlSetGPos
412AEF8E	FlagSetReq
418D0AB6	WordSetTrainerTypeNameFromTrainerID
41CC633A	SpMotionDelete
41F6FB05	PokePartyCheckDistribution
41FFF8E1	_GetRealTimeToDay
426415B6	PokeTemotiGetBall
4284A152	PlayerAttachDebonScope
4287E37A	InterviewSave
42A14CA8	MapperBlockCalcPosClear
42B3334B	CallInterviewInput
42EAC8A9	CallGameClear
4386D172	GetDay
43C551E8	MdlGetGPosX
43C551EA	MdlGetGPosZ
44449512	_CycleRaceScoreSet
44479D5E	_CycleRaceScoreGet
44490032	BuildMdlEventAnimeReset
447CF41D	MdlGetGPosDirZ
447CF41F	MdlGetGPosDirX
4485779C	PlayerTurnToObj
45973AD2	MdlPauseAnim
460A7FF6	SetMirrorNPC
46110FB6	_TrainerBGMPlay
466193EB	IEMdlAcmdIsEnd
467ED999	VoiceIsEnd
468AB861	InterviewLoad
46916846	MdlIsHalfSitSkelPreset
4853664E	_SecretBaseMapChangeInSide
48AE3B95	BattleHouse_SendVsTrainer
491DD15B	EVCameraEnd
496EEEEB	DestroyCameraAnimation
4A15B1F0	_SecretBaseGetOthersBaseFlag
4A2FA0E8	_BattleGetResult
4A3E2A96	RomGetVersion
4A528756	_SecretBaseGetBaseParam
4A595F94	SecretBaseGoodsAdd
4AD200ED	PopupMsgStartEvent
4AF5CCA6	_SecretBaseCallQRApp
4BA5CC25	_MdlAcmdSet
4CEA154D	InterviewGetTrainerID
4D77E92A	GetContestPortraitPokeData
4D855ABD	TalkMdlSetTalkMotion
4D89C7C4	WaitControlMotionBlurColor
4DA11ECD	WaitCommYesNo
4DC278F3	_GimmickAnimeWait
4DE38CE8	IsTokikakePoke
4EEDD673	_TrainerEyeIsBattleFirst
4F4881BF	GetBirthdayMonth
51475D68	Call3DCamera
51D062D7	BuildMdlAllTimeAnimeStop
51D29F6B	GetNutsFromFan
53ACC97D	PokePartyGetWazaCount
5443BD32	NiceWordComp
54EB84FB	SetCameraAnimationEndFrame
54EFA0C7	CallIaigiriEffect
55534916	_SecretBaseGetOthersBaseShitappaSex
55A9E150	SetTokikakePoke
5656AEBA	BattleHouse_SetFriendName
576344BE	AICreate
584FBA33	GetWinCount
5899240F	MdlSetPauseAutoWaitAnime
58BB67B6	_SecretBaseEventPlayerSitDownOn
59008363	PlayerGetSex
590F52EE	CommandNOP
591B83D2	StartBattle
5951BEB1	WordSetNutsTypeName
5954CC02	MdlAcmdEndWait
59A07DDB	ContestSetFanPoint
59A4F066	CallSorawotobuDemo
59F3676E	GetTurnDirByDir
5A0DED70	SetMirrorParam
5A25365B	TrainerTalkTypeGet
5AAD8296	IsYutakaEffectFinished
5B03C340	MsgWinAllClose
5BB2678A	WordSetPokeTypeName
5C80631F	TrainerGetEyeMoveType
5CB69D67	ListMenuStart_Seq
5CC35566	ConnectFriend
5D27599C	loc_eye
5DB73550	PokePartyHaveWaza
5E1391BB	IsSelectedFriendDressup
5F20AD9C	GymFightingMoveEvent
5F227F64	IsCanFieldTrade
5F3654B7	_ZukanIsComplete
5F448504	_SecretBaseGoodsAnimation
5F5061B1	PokePartyAddParam
5F6C0ECF	BallSetAnime
5F9B532F	MdlSetRailPos
603D1CA0	InterviewDelete
6089524B	WordSetNumber
60DD745A	SetCameraAnimationTranslation
60EA6FF6	SelectPartner
61845FB8	BattleHouse_CallPartySelectApp
620F2F05	_WordSetCurrentSecretBaseOwnerName
62AB3D33	_FieldPhotoCreate
62E1ADE2	CallPlayerC02PokeRideOn
62EE9CE7	_FieldNutsPlantClear
634485E1	MdlInterestViewIsEnable
6393BE9A	SEPlay
63F893F4	SEStop
647329B3	PlayCameraAnimation
65F7D413	AIDelete
661C9443	_FadeRequestIn_Ex
6671D88F	_TalkMdlEndInit
668ABB2D	EVCameraULCDBegin
669A3FDD	KawaigariNotifyChange
66DFBCEA	TalkMdlSetEyeToEye
67C9F71F	PokePartyRecover
67CFE85E	GymElecGimmickSetup
681F5CBD	BuildMdlEventAnimePause
684C43C8	AIMdlAcmdSet
68A9DF44	PokePartyRecoverAll
699441B8	MdlSetVisibleMesh
6A09E454	IsBallPowerFinishedBlue
6ACD432A	GetCharTypeDressup
6ACED6F1	WeakReserveScript
6ADB98B2	MdlParamPosChangeRail
6AE30210	BoxIsFull
6AEA78C6	BattleHouse_CommWait
6B1FAA31	EVCameraBind
6B4CFE0B	_SecretBaseMapChangeOutSide
6BB7FC1A	BGMStartEvent
6BB8119E	_EventModelInitialize
6BCC1041	AICommonWeakReserveSetData
6C006D83	_SecretBaseIsGoodsExist
6C1F4D42	CallContestConnect
6C91B02A	PokeTemotiIsEgg
6D066DE7	PokePartyChangeRotomFormNo
6D15BAB5	SpMotionReqLoad
6D492FC4	PlayerGetFrontGridPosX
6D492FC5	PlayerGetFrontGridPosY
6D492FC6	PlayerGetFrontGridPosZ
6D68609B	CallFriendlyShopBuy
6D801A14	IsPenaltyTime
6DAD5449	_SecretBaseUnRegistHimitunoNakama
6DDF3516	TVSaveTrend
6E1B803F	VanishTimerIcon
6E6A17E2	MdlSetTalkOffFlag
6ED9F68F	_MdlSetSitWait
6EFA9B76	ControlMotionBlur
6EFC380E	PokePartySetParam
703B3EF8	TalkMdlSetEye
703B7032	TalkMdlSetDir
706081C4	GetTimeZoneBySkyBox
70A52046	MdlParamPosChange
70BE961C	VoicePlay
71F288F7	PokeIconsPreDelete
71FC7C95	WordSetRivalName
72C9AD65	GetKeyCont
733EFB87	PokeIconsLoad
73A4F20A	WordSetContestRank
73DE4FA7	CallIwakudakiEffect
73EC7F96	EndMotionBlur
74B7DAD1	mb_01
74B7DAD2	mb_02
74B7DAD3	mb_03
74B7DAD4	mb_04
74B7DAD5	mb_05
74B7DAD6	mb_06
74D78DAD	GlobalCall
75321BA3	ListMenuInit_Seq
755882AF	FieldMenuPopPage
75D0C2BA	PokeMemoryMessageSetup
75F9B629	SetEndConcentratedLine
767ACA09	WordSetTokuseiName
76939DD8	PokePartyCheckSkyBattle
76D538DF	BallsDelete
77106C3A	IsSameTokikakePoke
771D9B25	EventModelStart
77757299	MsgWinClose
78040A98	CallPlayerSitDownOff
78178241	CalcVecToDir
786B4E56	GymEsperSwitchRailEvent
789B12DB	InitMotionBlur
78E0CF3A	GlobalGetParentParam
78E3E387	UseSprayContinue
7903FD3E	ListMenuAdd
793A4BED	OozorawotobuIsUsed
79F42E8D	IsBallPowerFinishedRed
7AD05CBD	CallFlashEffect
7B0456F0	PlayerAddMoney
7B59F5D1	_SodateyaLoveCheck
7B6EDD45	PlayerSubMoney
7B9BEFA0	AICommonWeakReserveGetScrId
7BF262FF	_SecretBaseDeleteOthersBase
7C094A68	BGMIsPlaying
7CE61B5B	GetStickHold
7D26C135	_SecretBaseGetOthersBaseParam
7D6B7345	MdlAcmdSetEnd
7D74C926	PokePartyLevelUp
7D92D82B	BattleHouse_SetBgm
7DF6F20F	CallContestPhotoView
7E467D9E	BootMegaBangleEffect
7EC0E009	ReserveScript
7EF9603E	SpMotionSetup
7F60BDE5	WordSetAPowerName
7F6889DC	_SecretBaseGoodsAction
81A4F320	CallNaminoriEffect
81DDDA6B	_EventModelIsEnd
82985FDB	TVSaveInterviewer
82A13E40	_SecretBaseCallGoodsLayoutEvent
82B8834D	CallTakinoboriEffect
82C8A8EB	BreederJudgeGetResult
82FA01A3	CallPC
83374E4B	IDPresentGetParam
83669B16	AreaR102CamomeGlid
836EEBEA	_SecretBaseCallBattle
83962A3E	_RentPokeEventCommand
83A4BE2C	SecretBaseGoodsAddCheck
83B4E681	EVCameraSetSrcParam
83D10E5A	BuildMdlEventAnimeRestart
843CB09A	PokePartyIsOwner
84D7BE29	TrainerBattleRuleGet
84F6A6E2	_SecretBaseGetOthersBaseShitappaBtlFlag
854C8FC5	DelTrainerObj
85895477	SecretBaseExistDeliveryBase
8593C7E0	MdlAcmdEndRequest
859F8ABA	BGParamPosChange
85D2C16E	MapperBlockIsLoading
85E9DFAE	IEMdlAcmdSetByRoute
85FB0FE5	PosParamPosChange
87A8B994	GetStylishLevel
886361AC	CheckWLANSwitch
88862BA6	WordSetBoxTrayName
88FA8586	ItemIsMegaStone
8908A581	SetPssIconType
89244C33	_SodateyaWordsetPokeName
897D72C7	BGMEndEvent
89EF44DF	IETerminate
8A23E4E7	PokePartySetDefaultName
8AC7E782	EVCameraSetSlideParam
8AE5649A	BootConcentratedLine
8B446376	CheckEventMapReplace
8B4A18B1	MdlIsExists
8C29602C	PlayerDetachDebonScope
8C8590AB	MdlInterestViewClear
8C8F83ED	BattleHouse_IsBattleBoxUsed
8CF20B38	MdlSetDirDisp
8D17311F	PokeIconsTrans
8D363AFF	PlayerGetForm
8D568287	MdlGetDirMove
8D5E8E31	ItemSub
8D631FFE	ItemAdd
8D711D46	GetHour
8E23B028	MdlAcmdMakeMoveEx
8E370F0D	BallSetVisible
8E50F765	WorkGet
8E52B43F	ResetContestData
8E55F629	WorkSet
8E7EEBEC	MdlGetDirDisp
8E9B2C9F	LayoutFadeIsEnd
8F0FE34B	FlyFlagSet
8F97580A	WordSetSecretBaseGoodsName
90278065	MdlSpMotionUpdate
905122FD	GetMyWinCount
905C34ED	WordSetWordWithCount
9067FAE4	SetMirrorModelDrawFlag
90CE1656	GetRank
91AB4329	SetMirrorParamSide
925C7A3E	_SecretBaseTalkAppChangeBefore
928396AE	CallEggDemoEvent
930401B9	PopupMsgParamSetCore
937050FF	AddBtlTrainerObj
9441C0A8	ContactMovie
94DEBB10	CallContest
9514C438	MegaRekkuuzaFlagSet
9519DC5C	MegaRekkuuzaFlagGet
954EB557	_ZukanGetCount
95D2D804	TimeCountStart
95DCBDBF	DoorParamPosChange
95E91372	_SecretBaseIncOthersBaseSkillCount
962007C2	RFoot
965E2497	PokePartyCheckWazaRemind
96AA135E	_SecretBaseGetSaveDataParam
97085025	MdlChangeMoveCode
9759801E	BootRekkuzaDescentEffect
97AB735C	PokeDiarySet
97E5E608	GetSecond
97EA4344	_IsReportLock
97EC4819	RHand
980359A5	AISetForceStopFlag
98388B87	IEReqChangeScript
985827AE	PokePartyCrimaxCommand
98D3D5BA	AICommonWeakReserveGetWkNo
991D9900	WordSetSeikakuName
994E0FC9	WordSetTrendCategory
997492A8	BGMChangeNowMap
997BFED8	CallPlayerC02PokeRideOff
9ADF1616	TalkMdlMsg_Seq
9AEB74A1	SetupSangoNetworkData
9B033731	_SecretBaseUnRegistHimitunoNakamaAfter
9B229E6A	SetPartyToEventScenePokeLog
9B27577A	AIMdlAcmdSetByRoute
9B8639D2	_GetMaxWinCount
9BAADC2A	CallFreeWordInput
9BEC9852	GetRockCrashItemTableNo
9C81DB01	MapChangeFake
9C9E9D6E	CallFieldCaptureDemoSimplePoke
9CA582F8	CallPokePartyNameInput
9CBAB6D5	PocketGetTotalCount
9CC118F5	GymFireGimmickUp
9D75386E	SEIsPlaying
9D84EEB2	MdlSearchByObjCode
9E1F7CDA	GlobalGetChildParam
9E8AB697	WordSetCondition
9EBFC333	PlayerSetBP
9FFF5CCA	SetRank
A05D1A57	ControlMotionBlurColor
A246F082	_TrainerEyeIsBattleEnable
A2791724	BGMVolumeChange
A297D9BE	CallOozorawotobu
A29A14AA	WordSetTrainerTypeName
A2D92A92	WordSetTrainerName
A3086615	SpMotionPlay
A358DC5C	_FieldNutsCallZyoroEvent
A3EB1691	_GetDateTimeToDay
A4507B3F	BattleHouse_GetBgm
A47113B1	BadgeSetFlag
A47CA15C	_SecretBaseCallOthersTokikakeCommendation
A4883690	_CallWazaApps
A4DD5437	BoxAddPoke
A4E07B73	_MapChangeAndDemoCall
A4E26469	DispTenjiMsgWin
A505FEF8	_FieldNutsPlant
A5135FDE	ItemAddCheck
A5891E79	MakeNetHandle
A5A83585	EVCameraULCDEnd
A5BC3E45	_GetRealTimeToSecond
A5C2B028	SodateyaIsEggExist
A5D96B8F	MdlGetMoveCode
A65244AA	BallSetAnimeFrame
A6B80C99	CallBigFourEffect
A6D04743	BoxGetPokeCount
A74050AF	_SodateyaWordsetPokeLevelUp
A7CCEE0A	ParentFlagGet
A7DFEF27	ContestGetFanPoint
A8214D87	WordSetItemWazaName
A82F5777	PokePartyGetWazaID
A87F1B6E	APowerLearn
A8E0ACAC	BadgeGetCount
A94CCFEA	PokeIconsDelete
A9B3ECF6	_SecretBaseGetOthersBasePlayLog
A9B58F29	AIIsAlive
A9B8D48B	loc_head
A9BA4F61	WordSetTemotiMonsNickName
AA5274B4	PlayerCheckPairlook
AA5EA0F9	TrialHouse_CallBtlResultApp
AB4496EB	MdlSetShadow
AB69635B	TrendGet
AB6E7B7F	TrendSet
ABA42768	ClearWinCount
ABF39924	MdlGetPosY
ABF39925	MdlGetPosX
ABF39927	MdlGetPosZ
ABFC5B3E	CallFieldDispPokePortrait
AC31FF30	TalkMdlIsExist
AC7BF1A3	PlaceNameSetNotCloseFlag
ACCBBBD7	FlagReset
AD5BDF09	AddStylishPoint
AD605EF8	MdlSetCullingOff
AD92E180	SetMoneyWinPos
ADD9E647	SkyboxEventTimeSet
AE0AE11E	EVCameraIsEndFrame
AE0E6742	ContactEncountStart
AE36ED53	GetReturnDir
AE67C2A4	CallDivingEffect
AF0BE94D	_Camera3DStartPetitAnime
AF6176D5	GimmickAnimeReq
AF6E938B	PlayerSetMoney
AFADA53B	GetCoolPoint
AFF52EF1	ContactEncountEnd
B0717BBF	_SecretBaseOthersBaseRandom
B0A7614A	CallAnanukenohimoEffect
B114C6BF	CallFieldTradeDemo
B25ED5E2	_WordSetRegister
B32FA207	_MdlProperties
B35B6A60	ShakeCameraBeginEndFrame
B38D54CB	CallApplicationDemo
B43B5C1F	SecretBaseGoodsGetNum
B44232EC	_SecretBaseIsGetHimitunoNakamaFlag
B4B4FB48	_SecretBaseCallGuildPhotoApp
B57ED3BD	_TrainerEyeGetLotItem
B593A9CC	_SecretBaseSetOthersBaseFlag
B5977D74	GetMinute
B5F607FA	WordSetItemPocketName
B6014AA1	WordSetContestPortraitNickname
B6250029	GetTrainerObjCode
B6396653	MdlSetPos
B6F067F0	_CycleRaceTimeCountGet
B78C7B20	room01_pokecen_dummy1
B78C7B22	room01_pokecen_dummy3
B78C7B23	room01_pokecen_dummy2
B78C7B24	room01_pokecen_dummy5
B78C7B25	room01_pokecen_dummy4
B78C7B27	room01_pokecen_dummy6
B7B4E309	AIIsLoaded
B7C88EAC	PokeAddTableGetMonsNo
B83E1D2B	CallAnawohoruEffect
B86FEB12	_CallTrialDownloadApp
B949218D	CallFieldTradeBoxSelect
B94D4F23	_Camera3DStopPetitAnime
B9534BF4	BattleHouse_End
B96D3BC5	FriendShipDemoStart
B9964356	MsgRelease
B9E74819	MdlGetEventType
BA4B3CDD	MdlInterestViewSetMode
BA72B72B	WorkSetReq
BA8CE540	_CallBackRegist
BAA55594	BuildMdlAllTimeAnimeRestart
BB14611F	FieldMenuAddPage
BB20EAA6	AcmdListClear
BB490F7F	_CallPhotoViewer
BB56F376	SkyBattleResultGet
BC3EF60B	WildBattleResultGet
BC5B6C01	TrainerCardGetRank
BD4D7FAB	_Camera3DCanShot
BD5177E0	BGMStartBattleEvent
BD8392C8	_SodateyaEggAdopt
BE2157EE	_SecretBaseSetOthersBaseShitappaBtlFlag
BE46439B	_SecretBaseGetGridGoodsNo
BEE1435A	CallGoodsShopBuy
BF3BFFDD	ItemGetNum
BF8CFA14	MotionSEPlay
BF9F5D6F	_SecretBaseGetGoodsLayoutParam
BFEACF25	BuildMdlEventAnimeStop
BFF28F8D	MotionSEWait
C06118CB	IsBootRekkuzaDescentFinished
C09A6C30	PlayerGetZoneID
C0C2C8A3	_TrainerEyeGetBattleTrainerID
C0FE70B5	BuildMdlGetHandleByGPos
C173B8C2	BuildMdlGetHandleByUniqID
C1C08E51	MdlGetObjID
C1FE9B47	SetTrainer
C2DC77A4	MEIsFinished
C2FBDF3B	_SecretBasePreOpen
C3178346	TrainerItemGet
C3407E79	_Camera3DIsExistSavePhoto
C34AD2AB	MdlSetVisible
C397DBCC	_CallBackGetScriptID
C46DDD1A	CallWildBattle
C4770841	ParentSeqSetReq
C47A1179	CallKabekudakiEffect
C50C5F27	CallContestCommEntryNumber
C569FC48	MdlCanUseTurnAcmd
C5E7859B	_ReportStart
C609926E	GetContestNewestData
C63B48DA	EVCameraSetFrameParam
C6D72128	TVSaveDaisukiNick
C71CC908	CallTrainerLose
C7339588	WordSetPlaceName
C73BA953	IsReserveScriptSetting
C7DE8C7C	_ABKeyWait
C82BEA1B	MdlSetMoveSpeedZero
C87F58E3	GimmickWorkGetBit
C8E7FB61	CheckWinAllSuspend
C94C62F4	SetTimerIcon
C96B9F06	MdlOverlapShift
C9A7208E	PorocAdd
C9C3EA8F	GimmickWorkSetBit
CA773FCD	MdlCntRelease
CA7A74C9	APowerSetFinish
CAF079D8	_CycleRaceTimeCountStart
CB0005AA	TalkMdlZoomSet
CB10A7D3	WazaOshieCheck
CB54950C	MsgIsLoaded
CB985125	GetRomFriendDataCode
CC1820C7	GymGetVictoryInfo
CC8BB7DA	IsMugennotikettoEnable
CC904302	MdlCntAcquire
CD2B19DD	RecordGet
CD2B9F5C	RecordAdd
CD301881	RecordSet
CD468418	ItemGetNutsID
CDD73846	GlobalSetParentParam
CE136BCE	SpMotionLoadIsEnd
CEEDEC32	FieldTradeGetData
CEFAB805	ContestGetWinMasterCount
CF4A62D2	TrainerGetDir
CF99AE5D	GetPssIconType
D04413AD	SetKeyWaitMark
D0B9E07D	WordSetWeatherName
D0D7DD92	CallFieldCaptureDemoMsg
D100BF46	AddWinCount
D1D57C25	SetMirrorParamWater
D1DF42D4	ContactEncountIsActive
D208EDAF	CallPokeSelect
D23CF83D	PlayerIsKanjiMode
D25ED9FE	FieldMenuChangePagePlayNavi
D2BA2C9E	AIGetOBJID
D2BE92AB	EVCameraBegin
D3887D21	_SecretBaseGetHimitunoNakamaPointNo
D3A17C75	PokePartyToBox
D3BB0F35	CallMPShopBuy
D3D300DD	_SecretBaseCallPcEvent
D5323A0C	GetTrainerID
D54C895F	PlayerGetMoney
D60B7D0F	BoxPokeGetParam
D6CD8FFC	BadgeResetFlag
D6EC188A	_FieldPhotoDelete
D7691DE3	_SodateyaWordsetPokeTakeBackMenu
D79B4142	BallsCreate
D7D30480	MdlDel
D7D3CEEE	MdlAdd
D8650124	GetMoneyWinPosX
D8650125	GetMoneyWinPosY
D87B6BA2	PlaceNameDisplay
D8B937C0	MdlGetRailPosKey
D8C5F80A	_MapChangeRailCore
D8FBE486	LayoutFadeRequestIn
D9DE11A9	SetupAiPartner
DA81F90D	TalkMdlZoomIsEnd
DAA230AA	CallTeleportEffect
DB0EEFCC	WordSetMoney
DB16CBCE	EVCameraSetGameCameraParam
DB3559B3	ZukanGetOpenFlag
DB38AFEE	ParentFlagSetReq
DBDACA49	AIGetForceStopFlag
DDA7BB61	GetContestFanObjCode
DE3D8A90	IEReceiveState
DF5895F7	SetCameraAnimationBeginFrame
DF92884C	TrainerBattleRuleIsDouble
DF9BB8BC	MdlInterestViewSet
DF9F03B4	_TalkMdlStartInit
E0B19CB1	MdlIsRail
E0CE9A03	WaitControlMotionBlur
E0D39A9D	IsMapFadeEnable
E0F3889D	IsContinueRecover
E17F0720	BattleHouse_WaitSetupDressUpModel
E2540353	IsKeyTrigger
E2F648F5	CallHideItemEncount
E37091E6	PlayerSetFieldMenu
E4A1A854	_SecretBaseRegistHimitunoNakama
E4F40348	TrainerGetScrID
E4F51ED7	BootBallPowerRed
E53555D8	MEPlay
E5A627ED	EVCameraSetInitParam
E5AB2CFA	PokePartyGetParam
E5C4DB26	MdlGetRailPosSide
E60AF3D4	GetContestBestRanking
E61BE920	APowerSetStart
E634C2F8	_SodateyaPokeTakeBack
E63AFF1B	BuildMdlSetVisible
E68FA0C6	_TalkTargetObjWorkSet
E6E2D5E9	APowerGetFinishWaitID
E6E58069	_SecretBaseTutorialEventSetDefaultWord
E7477B51	WordSetBtlRuleTypeName
E76E65E4	PokeIconsIsLoaded
E7E50918	WaitInitMotionBlur
E7EE8C4A	PlayerGetFieldMenu
E878AE2A	CallBPShopBuy
E87E29DA	ZukanHyouka
E8D86843	ParentSeqGet
E8DCA467	_Camera3DGetStartPos
E9773CA2	CallPlayerSitDownOn
E97E7C9A	IECreate
E9A2D21E	BGMChangeEvent
EA729DB7	AIMdlAcmdIsEnd
EAA1FC99	ItemIsWazaMachine
EBA3106A	MdlGetRailPosLineHashID
EBD459B9	WarpSetID
EC163E7D	Assert_
ED55A7EB	IEIsAIEnd
EDF8AAE7	_Camera3DIsOverrideAlert
EF62C451	MdlAcmdIsEnd
F01EEEE0	MsgWinCloseNo
F086F060	CheckFieldSkillUse
F0882C66	MdlAcmdSet
F13D5532	_SecretBaseDeleteOthersBaseBefore
F2854F90	_Camera3DIsEndLoadMap
F4890926	MsgSwap
